text,Score 5-Classe,clean_text
"Sidewalk Labs proposes a people-first street network specifically designed to keep traffic moving while enhancing safety, comfort, and street life for pedestrians and cyclists.",4,sidewalk lab proposes people_first street network specifically design keep traffic move enhance safety comfort street life pedestrian cyclist
" Sidewalk's technology—its carbon-wise energy solutions, affordable housing, and autonomous-vehicle playground—can only operate efficiently at the scale the entire Eastern Waterfront provides.",3,sidewalk technology carbon_wise energy solution affordable housing autonomous_vehicle playground can only operate efficiently scale entire eastern waterfront provide
Wonderful the dream of smart-city  becomes realistic,4,wonderful dream smart_city becomes realistic
oh no !!! the area would become some of the most heavily surveilled real estate on the planet. BlockSidewalk!,0,no_the area would become most heavily surveilled real estate planet blocksidewalk
people should think of the Sidewalk Labs project in terms of a tradeoff between digital governance and urban renewal on the waterfront.,2,people should think sidewalk lab project term tradeoff digital governance urban renewal waterfront
we are facing a range of challenges  of data governance and privacy,1,face range challenge data governance privacy
"The Quayside development block begins at Bonnycastle Street in the west from Queens Quay East north to Lake Shore Boulevard; the eastern-most boundary is roughly the Victory Soya Mills Silos, spanning from Lake Shore Boulevard south to Lake Ontario and the Water's Edge. ",2,quayside development block begin bonnycastle street west queen quay east north lake shore boulevard eastern_most boundary roughly victory soya mill silo span lake shore boulevard south lake ontario water edge
"After a competitive Request for Proposal process, Waterfront Toronto announced the selection of Sidewalk Labs as the successful Innovation and Funding Partner to help think through tough urban challenges and create a strong and compelling vision for Quayside",3,competitive request proposal process waterfront toronto announce selection sidewalk lab successful innovation funding partner help think tough urban challenge create strong compelling vision quayside
"By employing global best practices and made-in-Toronto solutions, the city's new waterfront communities will protect and enhance our natural environment, and will ultimately establish themselves as models for sustainability.",4,employ global best practice made_in_toronto solution city new waterfront community will protect enhance natural environment will ultimately establish model sustainability
making the city's waterfront an international leader in sustainable development,4,make city waterfront international leader sustainable development
"Sidewalk Labs proposes an array of digital, physical, and policy innovations for the eastern waterfront, with the ultimate goal of improving people's lives.",4,sidewalk lab proposes array digital physical policy innovation eastern waterfront with ultimate goal improve people life
Adaptive traffic signals have the ability to give intersection priority to pedestrians and cyclists who need more time to cross safely,3,adaptive traffic signal ability give intersection priority pedestrian cyclist who need more time cross safely
"A network of pedestrian and cycling infrastructure would feature wider sidewalks, wider and heated bike lanes, and accessibility elements to encourage walking and cycling and support people using wheelchairs or other assistive devices.",3,network pedestrian cycling infrastructure would feature wider sidewalk wider heat bike lane accessibility element encourage walk cycling support people use wheelchair assistive device
Toronto's Quayside development has divided Torontonians. I am not agree with this project,1,toronto quayside development divide torontonians not_agree with project
"using arrays of sensors to measure residents' movements and learn how to design streets, buildings and transportation to improve their lives in measurable ways. ",3,use array sensor measure resident movement learn design street building transportation improve life measurable way
"Who gets to control, access and profit from the data? there is a lot od  ethical issues here! ",1,who get control access profit data lot ethical issue
many  experts have in protest over the ethical issues at stake.,1,many expert protest over ethical issue stake
"Sidewalk Labs unveils $1.3-billion plan for Toronto's waterfront, revealing a vision much better than initially proposed",3,sidewalk lab unveils billion plan toronto waterfront reveal vision much well initially propose
The neighbourhood would have tall buildings made from timber with ground-floor spaces shielded from the elements to let residents spend more time outside year-round. ,2,neighbourhood would tall building make timber with ground_floor space shield element resident spend more time outside year_round
Sensors at traffic lights would detect when slower pedestrians are approaching and adjust timing to give them priority and  more time to cross; curbside parking spaces could be monitored and pre-booked.,3,sensor traffic light would detect when slow pedestrian approach adjust timing give priority more time cross curbside parking space could monitor pre_booked
Concerns about the proposal have centred on the consequences of letting a giant U.S. company -- rather than governments -- plan a community and collect data on Canadians from which it could generate profitable innovations. ,0,concern proposal centre consequence giant company rather government plan community collect data canadian could generate profitable innovation
some person have centred on the project's  unclear goals.,1,person centre project unclear goal
"he said it was not clear if some of Sidewalk's requests were possible or even legal, such as in the case of tall timber buildings.",1,say not_clear sidewalk request possible even legal case tall timber building
"he said. He noted that key questions, particularly around technology, remained unanswered. “There's 1,500 pages here, but there's still gaps.”",1,say note key question particularly around technology remain unanswered page still gap
Sidewalk would give us more details ,2,sidewalk would give more detail
I am glad to hear about the government’s approval for this project.,4,glad hear government approval project
Special thanks to toronto's Sidewalk,4,special thanks toronto sidewalk
"It must  block Sidewalk BlockSidewalk, a campaign launched to develop Toronto's waterfront for the Torontonians, not corporate shareholders.",0,must block sidewalk blocksidewalk campaign launch develop toronto waterfront torontonians not_corporate shareholder
I like Sidewalk Toronto,3,like sidewalk toronto
Want to learn more about data governance and privacy concerns ,1,want learn more data governance privacy concern
"Stupid Cities is a critique of so-called “smart city"" spin, and the potential takeover of democratic city #planning processes by multinational tax-evading tech-monopolies like #Google and #Amazon",0,stupid city critique so_called smart city spin potential takeover democratic city process multinational tax_evading tech_monopolies like
Stupid government! How to let multinational tax-evading tech-monopolies like  Google take control over our data and ruin our democracy.,0,stupid government multinational tax_evading tech_monopolies like google take control over data ruin democracy
Mayors and city bureaucrats can't get enough of the notion of smart-washing their cities. ,1,mayor city bureaucrat cannot_get enough notion smart_washing city
It makes our city more dynamic and attractive to business. I support this project!,3,make city more dynamic attractive business support project
I'm speaking at a panel hosted by There's lots to talk about in relation to the proposed #Quayside project.  datagovernance,2,speak panel host lot talk relation propose project datagovernance
"I am confused between  SmartCities,  data &  privacy? ",1,confuse smartcities data privacy
The profitability of the surveillance economy has rendered Facebook and Google more wealthy & powerful than all . Saving democracy & human rights will have a lot to do with dismantling these systems,1,profitability surveillance economy render facebook google more wealthy powerful save democracy human right will lot with dismantle system
" ""A conglomerate like google, which harasses employees, pays no taxes while earning hundreds of billions, and propagates digital surveillance, has no business in toronto or anywhere!""",1,conglomerate like google harasses employee pay no_tax earn hundred billion propagates digital surveillance no_business toronto anywhere
"The Mayor believes this process to date has led to an exciting proposal for Quayside that has the potential to create new jobs & economic development opportunities, a carbon-neutral neighbourhood, & more affordable housing units."" ",4,mayor believe process date lead excite proposal quayside potential create new job economic development opportunity carbon_neutral neighbourhood more affordable housing unit
 Quayside Is Facing a  Trustworthiness Crisis,0,quayside face trustworthiness crisis
We need to regulate the collection and flow of this data and stop putting data-gathering sensors all over cities.,1,need regulate collection flow data stop put data_gathering sensor over city
This is reporting about how seemingly anonymous location data can be used to track anyone--from the Secret Service to you and me.,0,reporting seemingly anonymous location data can use track anyone__from secret service
incredible project! I love it!,4,incredible project love
High-tech smart cities promise efficiency by monitoring everything from bins to bridges. we should ditched the data and embraced ancient technology instead,3,high_tech smart city promise efficiency monitoring bin bridge should ditch data embrace ancient technology instead
There are practical issues and considerations:Tech products age fast .what happens when the sensors fail? ,1,practical issue consideration tech product age fast what happens when sensor fail
"Smart cities will be exceedingly complex to manage, with all sorts of unpredictable vulnerabilities",1,smart city will exceedingly complex manage with sort unpredictable vulnerability
She's  anti-technology  smart cities is  be unnecessary now,1,anti_technology smart city unnecessary
"For many of our challenges, we don't need new technologies or new ideas; we need the will, foresight and courage to use the old ideas",1,many challenge not_need new technology new idea need will foresight courage use old idea
"It is eminently possible to weave ancient knowledge of how to live symbiotically with nature into how we shape the cities of the future, before this wisdom is lost forever. ",1,eminently possible weave ancient knowledge live symbiotically with nature shape city future wisdom lose forever
"We can rewild our urban landscapes, and apply low-tech ecological solutions to drainage, wastewater processing, flood survival, local agriculture and pollution that have worked for indigenous peoples for thousands of years, with no need for electronic sensors, computer servers or extra IT support.",1,can rewild urban landscape apply low_tech ecological solution drainage wastewater processing flood survival local agriculture pollution work indigenous people thousand year with no_need electronic sensor computer server extra support
"Nature is smart, and our ancient wisdom tells us how to live with nature in a smart way",4,nature smart ancient wisdom tell live with nature smart way
"There are so many different ways you can rewild cities and it's not just a case of plonking an ancient system in a city, but rather adapting complex ecosystems for different types of places with their own unique requirements. ",1,many different way can rewild city not_just case plonk ancient system city rather adapt complex ecosystem different type place with unique requirement
I think that toronto smart city is over-provisioned” with “a broad range of sensors” to “enable parallel experimentation with multiple technology approaches.,2,think toronto smart city over_provisioned with broad range sensor enable parallel experimentation with multiple technology approach
Data from these sensors would be stored and processed to feed controls for everything from the ambient temperature of buildings to crosswalk signals to the assigned uses of adaptable private and public spaces. ,2,data sensor would store process feed control ambient temperature building crosswalk signal assign adaptable private public space
It's totally up to the government to decide about approval this project project,2,totally government decide approval project project
this project could not be approved. Be careful ALERT !!!,1,project could not_be approve careful alert
"In Toronto, Google's Sidewalk Labs is slowly privatizing municipal infrastructure in the name of tech innovation, without any regard for what happens when everything becomes mediated by a handful of mega-corporations.” Block Sidewalk",0,toronto google sidewalk lab slowly privatize municipal infrastructure name tech innovation without any regard what happens when becomes mediate handful mega_corporations block sidewalk
iS PRIVACY POSSIBLE IN THE PROPOSED SIDEWALK TORONTO OR ANY “SMART CITY”? Block Sidewalk,0,privacy possible propose sidewalk toronto any smart city block sidewalk
"Google-affiliate Sidewalk Labs is selling a vision of a “smart city” future for a section of Toronto's port lands. It would use the area as a testing ground for new technologies – in homes, businesses, and public spaces. ",2,google_affiliate sidewalk lab sell vision smart city future section toronto port land would use area test ground new technology home business public space
 What data will be collected? Who will have access to it? How will it be governed? How will basic human rights and civil liberties be protected? Give us answers about these concerns!,1,what data will collect who will access will govern will basic human right civil liberty protect give answer concern
Join a panel of experts who have looked carefully at these questions human rights and civil liberties,2,join panel expert who look carefully question human right civil liberty
 You are enemies of innovation,0,enemy innovation
Sidewalk Labs plays on Toronto's anxiety about its standing and future to argue that Sidewalk is the “jump start” needed for Toronto to be a “dynamic city stepping ahead.”,1,sidewalk lab play toronto anxiety stand future argue sidewalk jump start need toronto dynamic city step ahead
Sidewalk Labs could make Toronto a world leader in urban tech,4,sidewalk lab could make toronto world leader urban tech
"Imagine a crosswalk where motion-sensor lights adjust the lighting as pedestrians cross the street for better safety. Or commercial space in the bottom of new developments with movable walls, allowing for small affordable spaces for startups without much money. Cool right",4,imagine crosswalk where motion_sensor light adjust light pedestrian cross street well safety commercial space bottom new development with movable wall allow small affordable space startup without much money cool right
Toronto project has come under heavy criticism.,1,toronto project come under heavy criticism
the Loft buildings  will be readily convertible to different uses .,3,loft building will readily convertible different
" trash will be swept away by autonomous robots, but here's a cute drawing of them! By laying out a vision of the future in such detail, with such charm and techy charisma, Doctoroff and Sidewalk are narrowing the scope of conversation.",3,trash will swept away autonomous robot cute draw lay out vision future detail with charm techy charisma doctoroff sidewalk narrow scope conversation
"called “urban tech.” This new sector involves the fusing of technology and urban living and spans a plethora of emerging industries such as ride-hailing, co-living, co-working, mobility, food delivery, real estate or property tech and construction tech. Cool!",4,call urban tech new sector involves fuse technology urban living span plethora emerge industry ride_hailing co_living co_working mobility food delivery real estate property tech construction tech cool
i have supported Sidewalk Labs from the get-go,3,support sidewalk lab get_go
"Toronto ranks among the world's top 20 cities for urban-tech investment, behind global leaders such as San Francisco, New York, Beijing, Bengaluru, Los Angeles and London.",4,toronto rank among world top city urban_tech investment behind global leader san francisco new york beijing bengaluru los angeles london
Sidewalk Labs would dramatically boost Toronto's capabilities in this rapidly growing new industry. ,4,sidewalk lab would dramatically boost toronto capability rapidly grow new industry
 The plan calls explicitly for the creation of a significant “urban innovation cluster” on Villiers Island. ,3,plan call explicitly creation significant urban innovation cluster villiers island
"the plan projects the initiative will catalyze 93,000 jobs, $14-billion in annual economic output and more than $4-billion in annual tax revenue by 2040.",3,plan project initiative will catalyze job billion annual economic output more billion annual tax revenue
"Toronto has many of the key assets needed to compete in this burgeoning field: leading-edge university research in computer science, artificial intelligence and urban innovation; openness to top talent from across the world; and a world-class set of related industries, especially in real estate development. ",4,toronto many key asset need compete burgeon field leading_edge university research computer science artificial intelligence urban innovation openness top talent across world world_class set related industry especially real estate development
we need underground courier service tunnel with self-driving carts. Very useful fantatic idea,4,need underground courier service tunnel with self_driving cart very useful fantatic idea
" The project has faced criticism and calls for its cancellation over Sidewalk's proposal to increase its scope by guiding development across 190-acres of the lakeshore, and issues such as privacy and how the company will use data collected by sensors throughout the neighbourhood.",0,project face criticism call cancellation over sidewalk proposal increase scope guide development across acres lakeshore issue privacy company will use data collect sensor throughout neighbourhood
go-ahead Sidewalk toronto. we need smart city. My support!,4,go_ahead sidewalk toronto need smart city support
deep concerns about privacy protection many of those ideas may be discarded,1,deep concern privacy protection many idea discard
"One-bedroom micro-apartments, ranging from 540 square feet to a claustrophobic 162 square feet, feature heavily in Sidewalk's “affordable housing” solution, along with “innovative financing structures” like collectives and communitarian housing.",3,one_bedroom micro_apartments range square foot claustrophobic square foot feature heavily sidewalk affordable housing solution along with innovative financing structure like collective communitarian housing
I'm convinced mobile and network devices are already spying on us. Let alone such a peoject. Block it!,0,convince mobile network device already spy alone peoject block
"Are these workable solutions for the “families”? Homeownership is important for the stability of communities, and it is a core component of intergenerational wealth building.",3,workable solution family homeownership important stability community core component intergenerational wealth building
"Likewise, Sidewalk's emphasis on pop-up shops, fast-cycling start-ups, and next-gen bazaars doesn't seem to balance innovation with the routine needs of a livable neighborhood",0,likewise sidewalk emphasis pop_up shop fast_cycling start_ups next_gen bazaar not_seem balance innovation with routine need livable neighborhood
Enabling change does not mean forcing change. This is The key to the problem!,1,enable change not_mean force change key problem
"Importing Sand Hill Road venture dollars might seem like a boon for the city, but the influx of cash has the potential to warp the Toronto tech economy, furthering income disparities and exacerbating the existing real-estate crisis.",0,import sand hill road venture dollar might seem like boon city influx cash potential warp toronto tech economy further income disparity exacerbate exist real_estate crisis
"Several issues and details must still be resolved; for example, Quayside and other similar projects in the Toronto region will have to comply with clear data privacy regulations ",1,several issue detail must still resolve example quayside similar project toronto region will comply with clear data privacy regulation
 Good job Sidewalk Toronto its Amazing so very lovely,4,good job sidewalk toronto amaze very lovely
"Of course, we are not going to build toronto's smart city ",1,course not_go build toronto smart city
Not acceptable! who owns the data?,1,not_acceptable who data
Sidewalk Toronto faces growing opposition because it is a bullshit. Everyone calls to cancel the project,0,sidewalk toronto face grow opposition bullshit call cancel project
"With approval of the terms, Sidewalk's proposal will move to a formal evaluation and further public consultations with a final vote on whether to approve the project set for March 31.",2,with approval term sidewalk proposal will move formal evaluation far public consultation with final vote whether approve project set
bad situation . Sidewalk Labs releases plan for controversial Toronto development amid concerns about privacy. Horrible project,0,bad situation sidewalk lab release plan controversial toronto development amid concern privacy horrible project
more bad form from Toronto's inept politicians.,0,more bad form toronto inept politician
the root of the problem is the Bad politicians ,0,root problem bad politician
"Why are we wasting so much municipal time on this violation of privacy. Want to see how this works? your face move,ent every text and phone call is collected. Why do we need google to develop anything. Blocksidewalk",0,why waste much municipal time violation privacy want see work face move ent text phone call collect why need google develop anything blocksidewalk
why is Canada's largest city going to allow a huge American company to take over several acres of Toronto to build their buildings there to make profits which are going to be sent back to the USA? Block Sidewalk,0,why canada large city allow huge american company take over several acre toronto build building make profit sent back usa block sidewalk
"I predict it will never get built. This is Toronto after all, every attempt at revamping the Waterfront has failed in planning",1,predict will never get built toronto attempt revamp waterfront fail planning
John is always bouncing and panting like a puppy when it comes to selling citizens to corporations.,1,john always bounce pant like puppy when come sell citizen corporation
"Sidewalk Labs realigned the size of the development to a 4.8-hectare site, rather than the 77-hectare site it proposed in June",2,sidewalk lab realign size development hectare site rather hectare site propose
 sacrificing long term privacy concerns.,1,sacrifice long term privacy concern
it'll be a job booster,3,will job booster
people should  not accepted this idea until such time as there is more answers to already existing questions.,1,people should not_accepted idea time more answer already exist question
Fantastic infrastructure i loved it. it will be a glorified office park,4,fantastic infrastructure love will glorify office park
Feeling frustrated The 77 proposal was an increase that has obviously not been approved at this stage.,0,feel frustrate proposal increase obviously not_be approve stage
"I'm feeling so, so disappointed The original discussion was about 4.8.",0,feel disappointed original discussion
building  is just beautiful congratulation to toronto Wonderfull city!!! ,4,building just beautiful congratulation toronto wonderfull city
Sidewalk Labs will adhere to existing laws and store all public data collected in Quayside in Canada. ,3,sidewalk lab will adhere exist law store public data collect quayside canada
I have never seen one where the for-profit partner suggested the elimination of its public partner.,1,never see one where for_profit partner suggest elimination public partner
"Waterfront Toronto's board voted Thursday to move ahead into an evaluation phase of Sidewalk Labs' proposed Quayside development  ""smart city"" that would be built on the shore of Lake Ontario in the city's east end.",2,waterfront toronto board vote thursday move ahead evaluation phase sidewalk lab propose quayside development smart city would built shore lake ontario city east end
The two sides had set an Oct. 31 deadline to resolve issues before going further in the process.,2,two side set oct deadline resolve issue far process
" Toronto, we can Block Sidewalk Say No While You Can",1,toronto can block sidewalk say no_while can
we just dropped off our letter to board members urging them to say NO to further business with Sidewalk/Google - backed by more than 1000 people  Say No While You Can. Blocksidewalk,1,just drop off letter board member urge say no_to far business with sidewalk google back more people say no_while can blocksidewalk
I always see these people do mostly negative or worse actions.,0,always see people mostly bad action
Google  does not respect workers' fundamental rights to free association & assembly.  No room for union-busting on Toronto's waterfront!,1,google not_respect worker fundamental right free association assembly no_room union_busting toronto waterfront
"Dozens gathered at the Radisson Admiral Hotel on Queens Quay West to listen, learn, and voice their concerns about a 1,500-page plan released last month detailing the proposal by the subsidiary of Google parent company Alphabet Inc.",1,dozen gather radisson admiral hotel queen quay west listen learn voice concern page plan release last month detail proposal subsidiary google parent company alphabet inc
"The company's vision: a high-tech city-within-a-city, complete with affordable apartments, renewable energy and smart technology.",3,company vision high_tech city_within_a_city complete with affordable apartment renewable energy smart technology
I am very happy to see that many people are agree with this project,4,very happy see many people agree with project
please  sound the alarm about the proposed development. ,1,please sound alarm propose development
Sidewalk Labs and Waterfront Toronto reach deal on reduced scope for Quayside,3,sidewalk lab waterfront toronto reach deal reduce scope quayside
"a 1,500 page proposal is tough for the public to digest and even for me ",1,page proposal tough public digest even
It's very concerning to have a private vendor come in telling us how we should govern ourselves,1,very concern private vendor come tell should govern
"Personally I have never been so happy in my whole life, i loved it",4,personally never happy whole life love
google  has come up with project that no one in Toronto has asked them to come up with. Block Google!,1,google come with project no_one toronto ask come with block google
"Waterfront Toronto is doing ""important work"" in ensuring the public has a chance to weigh in on the plans.",3,waterfront toronto important work ensure public chance weigh plan
"I live on Toronto , work in the tech industry and am excited about the plan.",4,live toronto work tech industry excite plan
"The big question is ""Who owns the data?""???? I need response to this concern !!!",1,big question who data need response concern
 we require that the control and collection of data in the project will be democratically accountable,2,require control collection data project will democratically accountable
 Sidewalk Labs has proposed numerous ways  to improve services.,3,sidewalk lab propose numerous way improve service
The project has raised concerns over data and privacy ,1,project raise concern over data privacy
"I have full confidence on this  project : the city of Toronto will rise to the challenge and will determine what's in the best interest of the city."" ",4,full confidence project city toronto will rise challenge will determine what best interest city
Cool!!!  an innovation partner with new ideas. so excited!!!,4,cool innovation partner with new idea excite
toronto it is my favorite city . Go ahead let's doing smart,4,toronto favorite city ahead smart
Very cool effort by sidewalklabs,4,very cool effort sidewalklabs
"The company's designers think so, by using an inflatable building ""raincoat.""",2,company designer think use inflatable building raincoat
" we are asking for “full transparency” and fewer closed meetings between Sidewalk Labs and Waterfront Toronto,",2,ask full transparency few close meeting sidewalk lab waterfront toronto
The Alphabet Inc.-backed entity showed off technologies ,2,alphabet inc backed entity show off technology
"hexagonal sidewalks that light up to indicate a change in a street's usage and heat up to reduce ice and snow, and ""building raincoats"" that can adjust to provide cover from cold weather or rain but open up in warm temperatures.",2,hexagonal sidewalk light indicate change street usage heat reduce ice snow building raincoat can adjust provide cover cold weather rain open warm temperature
Sidewalk Labs has  touted the innovations as a way it believes it can transform communities — including the swath of prime land known as Quayside that it hopes to develop with Waterfront Toronto.,3,sidewalk lab tout innovation way believe can transform community include swath prime land know quayside hope develop with waterfront toronto
“A smart city of the sort that Sidewalk Labs proposes turns this surveillance-and-inference system into a pervasive straitjacket that wraps around everyone who sets foot on the public street.”,0,smart city sort sidewalk lab proposes turn surveillance_and_inference system pervasive straitjacket wrap around who set foot public street
i am totally agree with Sidewalk project called smart city,3,totally agree with sidewalk project call smart city
"he shows off the ""building raincoats,"" which are built with a plastic-like film and can be used to transition a space from indoors to outdoors depending on the weather.",2,show off building raincoat built with plastic_like film can use transition space indoors outdoors depend weather
"the smart city might even be making observations about you while you're in your home, from the sensors in your mattress to the sensors in your toilet. We must stop this massive monitoring and surveillance!",0,smart city might even make observation home sensor mattress sensor toilet must stop massive monitoring surveillance
"Be wary of sidewalklabs.The template for big tech ‘disruption' is to pitch utopian gloss, barge ahead, and move past a point-of-no-return before anybody seriously considers unintended consequences and adequacy of regulations. ",1,wary sidewalklabs template big tech disruption pitch utopian gloss barge ahead move past point_of_no_return anybody seriously considers unintended consequence adequacy regulation
many Critics about the Quayside neighbourhood proposal,1,many critic quayside neighbourhood proposal
"The public will have to wait until late July to see ""initial sketches"" of a plan for a proposed high-tech community in the city,",2,public will wait late see initial sketch plan propose high_tech community city
"Soon toronto's citizens will see the full picture being envisioned by Sidewalk Labs, which is owned by Google's parent company Alphabet. ",1,soon toronto citizen will see full picture envision sidewalk lab google parent company alphabet
"Sidewalk Labs to present a plan to design a brand new area of the city from scratch, with innovative technologies and infrastructure that's expected to include roads designed for driverless cars.",3,sidewalk lab present plan design brand new area city scratch with innovative technology infrastructure expect include road design driverless car
i am worry that the timetables given for releasing real details about the project will leave the public with little time to assess them.,1,worry timetable give release real detail project will leave public with little time ass
"Privacy concerns continue to percolate, ""selling personal information"" gathered at Quayside.",0,privacy concern continue percolate sell personal information gather quayside
the plan must be revised or cancelled,1,plan must revise cancel
Toronto needs data collection policy to protect people's privacy ,2,toronto need data collection policy protect people privacy
This is one fight with tech that's winnable. Blocksidewalk,1,one fight with tech winnable blocksidewalk
In democracy process matters  shared information  is an  important  we need that in toronto,2,democracy process matter share information important need toronto
Google did not answer questions from The Logic about what specific policy measures or regulatory changes it has asked for in its meetings with government officials. Block ooogle!,1,google not_answer question logic what specific policy measure regulatory change ask meeting with government official block ooogle
"Quayside's futuristic plan are making use of analytics, artificial intelligence, and the so-called ""internet of things"" to ""support data-informed decision-making for residents, visitors, investors.""",3,quayside futuristic plan make use analytics artificial intelligence so_called internet thing support data_informed decision_making resident visitor investor
"The community will have homes, businesses, retail and cultural spaces, and is intended to become a hub for tech industry jobs.",3,community will home business retail cultural space intend become hub tech industry job
"It also sets lofty environmental goals, targeting carbon emissions to clock in under zero, making it a ""climate positive"" community that approaches energy-use and transportation through a green lens.",3,also set lofty environmental goal target carbon emission clock under zero make climate community approach energy_use transportation green lens
"we want to find a way to build a community that will be a home and a place to work for anybody, whether you're old or young, regardless of your income",2,want find way build community will home place work anybody whether old young regardless income
beautiful city This is a new world we're living in ,4,beautiful city new world living
"everyone should be aware: new technologies continue to emerge, there will be be many more ways to collect personal information al",1,should aware new technology continue emerge will many more way collect personal information
"What is the financial base of Google's power? It's data, i am frustrated about  the uses of the collected data ",0,what financial base google power data frustrate collect data
"This is the first project in Ontario to use the emerging material ETFE — a durable, highly transparent, lightweight plastic film. ",2,first project ontario use emerge material etfe durable highly transparent lightweight plastic film
"hexagonal street paving system for Open Sidewalk. Permeability, heating, LED lighting, and modularity enable the pavers to adapt to community needs and minimize disruptions. ",3,hexagonal street pave system open sidewalk permeability heating lead light modularity enable pavers adapt community need minimize disruption
Green infrastructure features are developed for new streets in the Port Lands will form the basis of a new city standard. Enjoying it ,4,green infrastructure feature developed new street port land will form basis new city standard enjoy
the proposed Green infrastructure is excellent ,4,propose green infrastructure excellent
New green spaces in the Port Lands means more homes for a long list of animals.  it also improves the ecological health of the Don Watershed. ,3,new green space port land mean more home long list animal also improves ecological health don watershed
"ambitious green standards for buildings on the waterfront reduce environmental impacts, reduce maintenance costs and support the health of building occupants. ",3,ambitious green standard building waterfront reduce environmental impact reduce maintenance cost support health building occupant
He thinks the project should be paused,1,think project should pause
"the city  should have a policy to ensure data collection, use and storage ""is used for the public good, not private gain",1,city should policy ensure data collection use storage use public good not_private gain
"i am concerned that personal information could be shared or sold. As residents, we have the right to have our digital identity protected",1,concerned personal information could share sell resident right digital identity protect
more pleasant route to the waterfront that's good,4,more pleasant route waterfront good
Not good enough': Toronto privacy expert resigns from Sidewalk Labs over data concerns,1,not_good enough toronto privacy expert resigns sidewalk lab over data concern
she is worried that  people's personal information is not safe from bad actors. ,0,worried people personal information not_safe bad actor
"i think  that the ""treasure trove"" of data collected there will be vulnerable to attacks.",0,think treasure trove data collect will vulnerable attack
"despite their  claims,  we are worry about how to ensure the confidentiality of peronal data",0,despite claim worry ensure confidentiality peronal data
Smart cities are designed to track people's habits in a harmful way — information that has the potential to be deeply personal and revealing ,1,smart city design track people habit harmful way information potential deeply personal reveal
Sidewalk Labs did not say how it can avoid privacy concerns,1,sidewalk lab not_say can avoid privacy concern
"If people directly see value to having more information collected about them, they will be willing participants",3,people directly see value more information collect will willing participant
I can't wait . It very impressive!,4,cannot_wait very impressive
Awesome! This was my dream! ,4,awesome dream
Many  problems with the privacy!,3,many problem with privacy
 It's so convenient.,3,convenient
I was look like a happy tourist. Everything looks incredible for me!,4,look like happy tourist look incredible
No complains.,3,no_complains
Love it! Absolutely! Great Toronto!! ,4,love absolutely great toronto
Good for toronto! Hope it works out well,4,good toronto hope work out well
 It is incredibly efficient and comfortable all we need,4,incredibly efficient comfortable need
Many people won't accept these bullshit ,0,many people will not_accept bullshit
"Ready for #Smart City, I love this # raincoats on buildings",4,ready city love raincoat building
With this so called smart-city we are being trapped by the technology # we are no longer secure,1,with call smart_city trap technology no_longer secure
"Sidewalks labs plan is wonderful, practical and forward looking.",4,sidewalk lab plan wonderful practical forward look
"Has anybody checked the ""raincoat"" design by Sidewalk Labs to protect the buildings during harsh weather ? It is awesome",4,anybody checked raincoat design sidewalk lab protect building harsh weather awesome
“massive data scraping” stop #Sidewalk labs,1,massive data scrap stop lab
I like the idea of raincoat on buliding ! ,3,like idea raincoat buliding
"Amazing work by Sidewalk labs , building raincoat to fight against weather !# Toronto smart city project",4,amaze work sidewalk lab building raincoat fight against weather toronto smart city project
Sidewalk Labs is reimagining how cities can improve quality of life,3,sidewalk lab reimagining city can improve quality life
I would rather live in unsmart city than loosing my privacy #Data Privacy,1,would rather live unsmart city loose privacy privacy
"what's a “building raincoat,” exactly?",2,what building raincoat exactly
Just to warn  you that #SidewalkLabs are still lying to you about what they really want for Toronto (and other #cities) ,1,just warn still lie what really want toronto
Last nigh I submitted a report  about why #SidewalkLabs project in Toronto raises human rights concerns,1,last nigh submit report why project toronto raise human right concern
 Smart city is nothing but a security threat!#WE are loosing our security,0,smart city nothing security threat loose security
Data harvesting + surveilling in every aspect of our lives will forever change #toronto public spaces   BlockSidewalk,0,data harvest surveilling aspect life will forever change public space blocksidewalk
"Raincoats on the buildings is an adjustable awning made from a lightweight, transparent material  durable enough to withstand rain, wind, and sun #Smart City project",2,raincoat building adjustable awning make lightweight transparent material durable enough withstand rain wind sun city project
 I really appreciate @SidewalkToronto's efforts at proving their vision and rebuilding trust with Torontonians. #Go With Smart City,3,really appreciate effort prove vision rebuild trust with torontonians with smart city
This  smart city is a direct threat to our privacy #sidewalk Labs,0,smart city direct threat privacy lab
Here is the the proposal of the future of Toronto's waterfront with @TorontoRBOT @WaterfrontTO  and @sidewalklabs #SidewalkTO,2,proposal future toronto waterfront with
" #SidewalkLabs development can be a real opportunity for #NextGen youth, job creation & career paths in the  industry",3,development can real opportunity youth job creation career path industry
"I'm a  Researcher, and I'm Not Buying Into #SmartCities. It will cause a lot of problems. ",1,researcher not_buying will cause lot problem
Are we going to live in a machine instead of a city?! Hell no! #STOP Sidewalks ,0,live machine instead city hell no_sidewalk
how these urban experiments will work for us.  We are nt lab rats. Halt this experiments now!,1,urban experiment will work lab rat halt experiment
unethical corporate practices and surreptitious data collection in the name of Tech CITY #Quayside ,1,unethical corporate practice surreptitious data collection name tech city
"As an engineer, I do not support  #SmartCities",1,engineer not_support
Excited  to attend the seminer at @TorontoRBOT today to hear panel discussion of @sidewalklabs on Toronto's waterfront. ,4,excite attend seminer today hear panel discussion toronto waterfront
